code,name,population
0,전국,51779203
11,서울특별시,9639541
11010,종로구,154969
11020,중구,130957
11030,용산구,227181
11040,성동구,299688
11050,광진구,359766
11060,동대문구,355094
11070,중랑구,386331
11080,성북구,445327
11090,강북구,303871
11100,도봉구,323543
11110,노원구,522480
11120,은평구,461530
11130,서대문구,319394
11140,마포구,369327
11150,양천구,440354
11160,강서구,574097
11170,구로구,435560
11180,금천구,249747
11190,영등포구,394083
11200,동작구,400368
11210,관악구,507828
11220,서초구,404960
11230,강남구,509199
11240,송파구,648600
11250,강동구,415287
21,부산광역시,3372692
21004,읍부,144728
21005,면부,16004
21003,동부,3211960
21010,중구,41958
21020,서구,105847
21030,동구,85673
21040,영도구,117959
21050,부산진구,352390
21060,동래구,260986
21070,남구,278849
21080,북구,285098
21090,해운대구,392846
21100,사하구,319828
21110,금정구,244726
21120,강서구,128809
21130,연제구,203959
21140,수영구,170414
21150,사상구,222618
21310,기장군,160732
22,대구광역시,2429940
22004,읍부,236543
22005,면부,21931
22003,동부,2171466
22010,중구,75561
22020,동구,337439
22030,서구,175243
22040,남구,147500
22050,북구,446050
22060,수성구,415283
22070,달서구,574390
22310,달성군,258474
23,인천광역시,2952237
23004,읍부,21707
23005,면부,62568
23003,동부,2867962
23010,중구,131863
23020,동구,63003
23040,연수구,374413
23050,남동구,533119
23060,부평구,514385
23070,계양구,298912
23080,서구,540655
23090,미추홀구,411612
23310,강화군,65235
23320,옹진군,19040
24,광주광역시,1489730
24010,광주광역시동구,103754
24020,광주광역시서구,298033
24030,광주광역시남구,217972
24040,광주광역시북구,446661
24050,광산구,423310
25,대전광역시,1498839
25010,대전광역시동구,237273
25020,대전광역시중구,234995
25030,대전광역시서구,480920
25040,유성구,366544
25050,대덕구,179107
26,울산광역시,1143692
26004,읍부,171448
26005,면부,55053
26003,동부,917191
26010,울산광역시중구,219428
26020,울산광역시남구,322135
26030,울산광역시동구,162104
26040,울산광역시북구,213524
26310,울주군,226501
29,세종특별자치시,338136
29004,읍부,50338
29005,면부,51408
29003,동부,236390
29010,세종시,338136
31,경기도,13300900
31004,읍부,1459827
31005,면부,807497
31003,동부,11033576
31010,수원시,1214986
31011,수원시장안구,282288
31012,수원시권선구,374770
31013,수원시팔달구,189052
31014,수원시영통구,368876
31020,성남시,919895
31021,성남시수정구,241256
31022,성남시중원구,216005
31023,성남시분당구,462634
31030,의정부시,440357
31040,안양시,557339
31041,안양시만안구,246200
31042,안양시동안구,311139
31050,부천시,836751
31060,광명시,313462
31070,평택시,521172
31080,동두천시,96541
31090,안산시,714650
31091,안산시상록구,356620
31092,안산시단원구,358030
31100,고양시,1024645
31101,고양시덕양구,448571
31103,고양시일산동구,287041
31104,고양시일산서구,289033
31110,과천시,53830
31120,구리시,192270
31130,남양주시,681077
31140,오산시,233998
31150,시흥시,508749
31160,군포시,275154
31170,의왕시,155826
31180,하남시,260544
31190,용인시,1052529
31191,용인시처인구,266647
31192,용인시기흥구,434075
31193,용인시수지구,351807
31200,파주시,454328
31210,이천시,222995
31220,안성시,202284
31230,김포시,442910
31240,화성시,838635
31250,광주시,375238
31260,양주시,224684
31270,포천시,159871
31280,여주시,111981
31350,연천군,42540
31370,가평군,59823
31380,양평군,111836
32,강원도,1520127
32004,읍부,256203
32005,면부,350394
32003,동부,913530
32010,춘천시,284753
32020,원주시,349319
32030,강릉시,216357
32040,동해시,86780
32050,태백시,42474
32060,속초시,78643
32070,삼척시,67210
32310,홍천군,66634
32320,횡성군,44431
32330,영월군,36332
32340,평창군,39657
32350,정선군,35255
32360,철원군,43520
32370,화천군,23425
32380,양구군,21780
32390,인제군,30133
32400,고성군,27144
32410,양양군,26280
33,충청북도,1629343
33004,읍부,349009
33005,면부,338833
33003,동부,941501
33020,충주시,216446
33030,제천시,136093
33040,청주시,850938
33041,청주시상당구,173783
33042,청주시서원구,210273
33043,청주시흥덕구,266301
33044,청주시청원구,200581
33320,보은군,32001
33330,옥천군,49117
33340,영동군,48004
33350,진천군,87525
33360,괴산군,38808
33370,음성군,104823
33380,단양군,28095
